subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.6730208566943261,0.6945714459364556,0.32682929503522357,0.49619274070629704
complete_position,105,48,57,0.5698099415204678,0.6438667381744175,0.33797967930634815,0.45802762747431797
incomplete_position,84,43,41,0.7560975609756098,0.7375876726517137,0.3113275412924406,0.5387956578024599
murmur_absent,145,54,91,0.5952380952380952,0.4542987461864677,0.3188613898397147,0.3748895628032861
murmur_present,32,28,4,0.7678571428571429,0.9658717439327769,0.46653903275728226,0.716978986880609
murmur_unknown,12,9,3,0.5925925925925926,0.8657848324514992,0.38224276900291443,0.5371212644709481
