threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.22999999999999998,0.5661375661375662,0.5294117647058824,0.8901098901098901,0.6639344262295082,0.2653061224489796,0.7222222222222222,81,26,72,10,selected,full_val
0.22999999999999998,0.47619047619047616,0.4606741573033708,0.8541666666666666,0.5985401459854015,0.15789473684210525,0.5625,41,9,48,7,selected,complete_position_val
0.2,0.544973544973545,0.515527950310559,0.9120879120879121,0.6587301587301587,0.20408163265306123,0.7142857142857143,83,20,78,8,fixed_0.20,full_val
0.2,0.4857142857142857,0.4673913043478261,0.8958333333333334,0.6142857142857143,0.14035087719298245,0.6153846153846154,43,8,49,5,fixed_0.20,complete_position_val
0.3,0.5714285714285714,0.5357142857142857,0.8241758241758241,0.6493506493506493,0.336734693877551,0.673469387755102,75,33,65,16,fixed_0.30,full_val
0.3,0.4666666666666667,0.45,0.75,0.5625,0.22807017543859648,0.52,36,13,44,12,fixed_0.30,complete_position_val
0.4,0.6084656084656085,0.5825242718446602,0.6593406593406593,0.6185567010309279,0.5612244897959183,0.6395348837209303,60,55,43,31,fixed_0.40,full_val
0.4,0.5333333333333333,0.4897959183673469,0.5,0.4948453608247423,0.5614035087719298,0.5714285714285714,24,32,25,24,fixed_0.40,complete_position_val
0.5,0.6349206349206349,0.6666666666666666,0.4835164835164835,0.5605095541401274,0.7755102040816326,0.6178861788617886,44,76,22,47,fixed_0.50,full_val
0.5,0.6095238095238096,0.6666666666666666,0.2916666666666667,0.4057971014492754,0.8771929824561403,0.5952380952380952,14,50,7,34,fixed_0.50,complete_position_val
0.6,0.6137566137566137,0.6730769230769231,0.38461538461538464,0.48951048951048953,0.826530612244898,0.5912408759124088,35,81,17,56,fixed_0.60,full_val
0.6,0.5904761904761905,0.6666666666666666,0.20833333333333334,0.31746031746031744,0.9122807017543859,0.5777777777777777,10,52,5,38,fixed_0.60,complete_position_val
0.7,0.6137566137566137,0.6956521739130435,0.3516483516483517,0.46715328467153283,0.8571428571428571,0.5874125874125874,32,84,14,59,fixed_0.70,full_val
0.7,0.6095238095238096,0.7692307692307693,0.20833333333333334,0.32786885245901637,0.9473684210526315,0.5869565217391305,10,54,3,38,fixed_0.70,complete_position_val
0.8,0.6031746031746031,0.6904761904761905,0.31868131868131866,0.43609022556390975,0.8673469387755102,0.5782312925170068,29,85,13,62,fixed_0.80,full_val
0.8,0.5904761904761905,0.7272727272727273,0.16666666666666666,0.2711864406779661,0.9473684210526315,0.574468085106383,8,54,3,40,fixed_0.80,complete_position_val
