prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(-0.001, 0.1]",16,0.04760813986649737,0.3125
"(0.1, 0.2]",12,0.1575366761535406,0.25
"(0.2, 0.3]",21,0.2485507151910237,0.38095238095238093
"(0.3, 0.4]",37,0.34794497892663284,0.40540540540540543
"(0.4, 0.5]",37,0.45338394110267227,0.43243243243243246
"(0.5, 0.6]",14,0.5461479425430298,0.6428571428571429
"(0.6, 0.7]",6,0.6512019832928976,0.5
"(0.7, 0.8]",4,0.7592420279979706,0.75
"(0.8, 0.9]",9,0.8579775955941942,0.7777777777777778
"(0.9, 1.0]",33,0.9644695520401001,0.6666666666666666
