group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,53,10,55,4,0.8461538461538461,0.07017543859649122,0.4619767386160913,0.40410496294498444
Age,Infant,33,23,10,22,1,9,1,0.9,0.043478260869565216,0.7793298176292217,0.9065396189689636
Age,nan,20,5,15,0,14,1,5,0.06666666666666667,1.0,0.10443464438430965,0.05652080662548542
Age,Adolescent,13,6,7,6,1,6,0,0.8571428571428571,0.0,0.5024637786241678,0.49874043464660645
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.9606820940971375,0.9606820940971375
Height_missing,present,155,77,78,72,8,70,5,0.8974358974358975,0.06493506493506493,0.5251535148870561,0.44515424966812134
Height_missing,missing,34,14,20,9,18,2,5,0.1,0.35714285714285715,0.3018133938038612,0.2012455239892006
Pregnancy status,False,170,86,84,81,12,72,5,0.8571428571428571,0.05813953488372093,0.529119171771933,0.4467686116695404
Pregnancy status,True,19,5,14,0,14,0,5,0.0,1.0,0.09001005239980786,0.05588648095726967
Sex,Female,104,50,54,42,21,33,8,0.6111111111111112,0.16,0.45291961714302975,0.39823251962661743
Sex,Male,85,41,44,39,5,39,2,0.8863636363636364,0.04878048780487805,0.5241977648699985,0.4562901258468628
Weight_missing,present,160,80,80,75,8,72,5,0.9,0.0625,0.5295250462833792,0.4467686116695404
Weight_missing,missing,29,11,18,6,18,0,5,0.0,0.45454545454545453,0.23918768246497574,0.12556567788124084
available_positions,"AV,MV,PV,TV",105,48,57,41,9,48,7,0.8421052631578947,0.14583333333333334,0.42264823908252375,0.3900541067123413
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.7239697283506393,0.8217781782150269
available_positions,"MV,PV,TV",14,3,11,3,8,3,0,0.2727272727272727,0.0,0.2811307577150209,0.22036301344633102
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.8996888074007902,0.9641034007072449
available_positions,"AV,PV,TV",10,3,7,2,5,2,1,0.2857142857142857,0.3333333333333333,0.17550927512347697,0.13073943555355072
available_positions,"AV,PV",7,2,5,1,3,2,1,0.4,0.5,0.45022178600941387,0.21200600266456604
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.7668588310480118,0.7732136249542236
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.6091114381949106,0.5575738549232483
available_positions,PV,3,1,2,1,0,2,0,1.0,0.0,0.6325748761494955,0.47929373383522034
available_positions,"PV,TV",3,2,1,1,0,1,1,1.0,0.5,0.4477578876540065,0.3393978774547577
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.40581931360065937,0.40581931360065937
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.9749276638031006,0.9749276638031006
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.5217549204826355,0.5217549204826355
has_all_positions,True,105,48,57,41,9,48,7,0.8421052631578947,0.14583333333333334,0.42264823908252375,0.3900541067123413
has_all_positions,False,84,43,41,40,17,24,3,0.5853658536585366,0.06976744186046512,0.562885536823333,0.5426170527935028
murmur,Absent,145,54,91,48,26,65,6,0.7142857142857143,0.1111111111111111,0.4248377299963914,0.397767573595047
murmur,Present,32,28,4,26,0,4,2,1.0,0.07142857142857142,0.6933556692674756,0.8225612342357635
murmur,Unknown,12,9,3,7,0,3,2,1.0,0.2222222222222222,0.6559664942324162,0.830364465713501
outcome,Normal,98,0,98,0,26,72,0,0.7346938775510204,0.0,0.40742484565672216,0.3781025856733322
outcome,Abnormal,91,91,0,81,0,0,10,0.0,0.10989010989010989,0.5684924760710571,0.4933314919471741
position_count,4,105,48,57,41,9,48,7,0.8421052631578947,0.14583333333333334,0.42264823908252375,0.3900541067123413
position_count,2,38,25,13,23,4,9,2,0.6923076923076923,0.08,0.6296700768809962,0.7190634608268738
position_count,3,29,10,19,9,13,6,1,0.3157894736842105,0.1,0.33563056369793826,0.26536425948143005
position_count,1,17,8,9,8,0,9,0,1.0,0.0,0.8012726955554065,0.9606820940971375
top_attention_position,MV,93,46,47,45,6,41,1,0.8723404255319149,0.021739130434782608,0.5121720059103864,0.4416065812110901
top_attention_position,PV,49,21,28,15,13,15,6,0.5357142857142857,0.2857142857142857,0.4264901957607695,0.3570269048213959
top_attention_position,TV,32,14,18,11,7,11,3,0.6111111111111112,0.21428571428571427,0.40356437081936747,0.31237417459487915
top_attention_position,AV,15,10,5,10,0,5,0,1.0,0.0,0.6810916125774383,0.5575738549232483
