subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.661807580174927,0.6660106359539285,0.40742484565672216,0.5684924760710571
complete_position,105,48,57,0.5606725146198831,0.6049285577214567,0.3870220838866213,0.46495429837765795
incomplete_position,84,43,41,0.712989222915485,0.7072377205595255,0.43578966080052095,0.6840699767520608
murmur_absent,145,54,91,0.6284086284086285,0.47587193684250007,0.38895038599250736,0.4853145504473812
murmur_present,32,28,4,0.5446428571428572,0.9215889306401469,0.7040152475237846,0.6918328723737172
murmur_unknown,12,9,3,0.5925925925925926,0.8741943241943244,0.5723629196484884,0.6838343524270587
