threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.57,0.5767195767195767,0.5364238410596026,0.8901098901098901,0.6694214876033058,0.2857142857142857,0.7368421052631579,81,28,70,10,selected,full_val
0.57,0.45714285714285713,0.45161290322580644,0.875,0.5957446808510638,0.10526315789473684,0.5,42,6,51,6,selected,complete_position_val
0.2,0.5132275132275133,0.4972067039106145,0.978021978021978,0.6592592592592592,0.08163265306122448,0.8,89,8,90,2,fixed_0.20,full_val
0.2,0.45714285714285713,0.4563106796116505,0.9791666666666666,0.6225165562913907,0.017543859649122806,0.5,47,1,56,1,fixed_0.20,complete_position_val
0.3,0.5291005291005291,0.5058823529411764,0.945054945054945,0.6590038314176245,0.14285714285714285,0.7368421052631579,86,14,84,5,fixed_0.30,full_val
0.3,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.30,complete_position_val
0.4,0.5291005291005291,0.5058823529411764,0.945054945054945,0.6590038314176245,0.14285714285714285,0.7368421052631579,86,14,84,5,fixed_0.40,full_val
0.4,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.40,complete_position_val
0.5,0.5343915343915344,0.5088757396449705,0.945054945054945,0.6615384615384615,0.15306122448979592,0.75,86,15,83,5,fixed_0.50,full_val
0.5,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.50,complete_position_val
0.6,0.5767195767195767,0.5407407407407407,0.8021978021978022,0.6460176991150443,0.3673469387755102,0.6666666666666666,73,36,62,18,fixed_0.60,full_val
0.6,0.45714285714285713,0.4457831325301205,0.7708333333333334,0.5648854961832062,0.19298245614035087,0.5,37,11,46,11,fixed_0.60,complete_position_val
0.7,0.5661375661375662,0.5849056603773585,0.34065934065934067,0.4305555555555556,0.7755102040816326,0.5588235294117647,31,76,22,60,fixed_0.70,full_val
0.7,0.47619047619047616,0.3870967741935484,0.25,0.3037974683544304,0.6666666666666666,0.5135135135135135,12,38,19,36,fixed_0.70,complete_position_val
0.8,0.5555555555555556,1.0,0.07692307692307693,0.14285714285714285,1.0,0.5384615384615384,7,98,0,84,fixed_0.80,full_val
0.8,0.5904761904761905,1.0,0.10416666666666667,0.18867924528301888,1.0,0.57,5,57,0,43,fixed_0.80,complete_position_val
