subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.6101704418030949,0.6292453279571344,0.46542711578765694,0.5247074962481038
complete_position,105,48,57,0.4972587719298246,0.5104821574209175,0.5254826049009959,0.5111461319029331
incomplete_position,84,43,41,0.7487237663074305,0.769525640523538,0.38193533823984427,0.5398457634241082
murmur_absent,145,54,91,0.577024827024827,0.5005106014831764,0.46227417763445405,0.5068733754257361
murmur_present,32,28,4,0.5803571428571429,0.9174673145742985,0.5216647237539291,0.5487806179693767
murmur_unknown,12,9,3,0.7777777777777778,0.9191718775052109,0.4860827624797821,0.5568180647161272
