prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(-0.001, 0.1]",7,0.07037180768592018,0.14285714285714285
"(0.1, 0.2]",6,0.12263953064878781,0.0
"(0.2, 0.3]",6,0.21026411652565002,0.6666666666666666
"(0.3, 0.4]",3,0.37442557017008465,0.6666666666666666
"(0.4, 0.5]",29,0.4554801573013437,0.3793103448275862
"(0.5, 0.6]",125,0.543534378528595,0.496
"(0.6, 0.7]",13,0.6612474138920124,0.8461538461538461
