group,count,mean,std,min,p10,p25,median,p75,p90,max
Abnormal,91,0.5247074962481038,0.10274857431466339,0.07537681609392166,0.4430382251739502,0.5214372873306274,0.5383062958717346,0.5519952178001404,0.654743492603302,0.6852869987487793
Normal,98,0.46542711578765694,0.15137059725504448,0.0658288449048996,0.12229200452566147,0.4559595212340355,0.5331802368164062,0.5485909730195999,0.5542495369911193,0.6321397423744202
