group,count,mean,std,min,p10,p25,median,p75,p90,max
Abnormal,91,0.6118822943337343,0.140908236198336,0.020333481952548027,0.4941471517086029,0.6430299282073975,0.6506174206733704,0.6748950779438019,0.6909168362617493,0.7138807773590088
Normal,98,0.546576465232944,0.20854948878555532,0.025232592597603798,0.09555796906352043,0.5155428797006607,0.6454392075538635,0.671341747045517,0.6744971394538879,0.6899629831314087
