prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(-0.001, 0.1]",12,0.05402140955751141,0.08333333333333333
"(0.1, 0.2]",7,0.12305742289338793,0.5714285714285714
"(0.3, 0.4]",5,0.35854015350341795,0.4
"(0.4, 0.5]",11,0.4624281850728122,0.45454545454545453
"(0.5, 0.6]",8,0.5340473875403404,0.5
"(0.6, 0.7]",137,0.658397932557294,0.48175182481751827
"(0.7, 0.8]",9,0.7093129820293851,1.0
