threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.48999999999999994,0.5502645502645502,0.5189873417721519,0.9010989010989011,0.6586345381526104,0.22448979591836735,0.7096774193548387,82,22,76,9,selected,full_val
0.48999999999999994,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,selected,complete_position_val
0.2,0.5291005291005291,0.5058823529411764,0.945054945054945,0.6590038314176245,0.14285714285714285,0.7368421052631579,86,14,84,5,fixed_0.20,full_val
0.2,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.20,complete_position_val
0.3,0.5291005291005291,0.5058823529411764,0.945054945054945,0.6590038314176245,0.14285714285714285,0.7368421052631579,86,14,84,5,fixed_0.30,full_val
0.3,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.30,complete_position_val
0.4,0.5343915343915344,0.509090909090909,0.9230769230769231,0.65625,0.17346938775510204,0.7083333333333334,84,17,81,7,fixed_0.40,full_val
0.4,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.40,complete_position_val
0.5,0.5396825396825397,0.512987012987013,0.8681318681318682,0.6448979591836734,0.23469387755102042,0.6571428571428571,79,23,75,12,fixed_0.50,full_val
0.5,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.50,complete_position_val
0.6,0.5396825396825397,0.5136986301369864,0.8241758241758241,0.6329113924050633,0.2755102040816326,0.627906976744186,75,27,71,16,fixed_0.60,full_val
0.6,0.44761904761904764,0.4489795918367347,0.9166666666666666,0.6027397260273972,0.05263157894736842,0.42857142857142855,44,3,54,4,fixed_0.60,complete_position_val
0.7,0.5661375661375662,1.0,0.0989010989010989,0.18,1.0,0.5444444444444444,9,98,0,82,fixed_0.70,full_val
0.7,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.70,complete_position_val
0.8,0.5185185185185185,0.0,0.0,0.0,1.0,0.5185185185185185,0,98,0,91,fixed_0.80,full_val
0.8,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.80,complete_position_val
