constraint,threshold,fn,fp,tp,tn
fn<=5,0.33378130197525024,5.0,67.0,49.0,24.0
fn<=7,0.33378130197525024,5.0,67.0,49.0,24.0
fn<=10,0.36339542269706726,10.0,58.0,44.0,33.0
fp<=10,0.6663752198219299,37.0,10.0,17.0,81.0
fp<=20,0.6663752198219299,37.0,10.0,17.0,81.0
