subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.7121551917470285,0.7262062902731661,0.31679938323035534,0.48569091384882457
complete_position,105,48,57,0.5917397660818713,0.6379720481877679,0.31397423618718195,0.4119211829577883
incomplete_position,84,43,41,0.7833238797504254,0.7782726660850382,0.3207270266806207,0.568038520424865
murmur_absent,145,54,91,0.6387871387871389,0.49972377885243036,0.31273343291256456,0.3812214227186309
murmur_present,32,28,4,0.6875,0.9537184515155093,0.39150143414735794,0.6348112316003868
murmur_unknown,12,9,3,0.8888888888888888,0.9722222222222223,0.3405304749806722,0.6485779831806818
