group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,52,12,53,5,0.8153846153846154,0.08771929824561403,0.5333039986549831,0.47268807888031006
Age,Infant,33,23,10,23,0,10,0,1.0,0.0,0.687048948172367,0.6818625330924988
Age,nan,20,5,15,1,12,3,4,0.2,0.8,0.29186984375119207,0.25005021691322327
Age,Adolescent,13,6,7,5,3,4,1,0.5714285714285714,0.16666666666666666,0.45350252091884613,0.4177757799625397
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.9282710552215576,0.9282710552215576
Height_missing,present,155,77,78,71,13,65,6,0.8333333333333334,0.07792207792207792,0.5536733205279997,0.48826634883880615
Height_missing,missing,34,14,20,10,14,6,4,0.3,0.2857142857142857,0.4287511513513677,0.32557903230190277
Pregnancy status,False,170,86,84,80,15,69,6,0.8214285714285714,0.06976744186046512,0.559913447674583,0.4908420294523239
Pregnancy status,True,19,5,14,1,12,2,4,0.14285714285714285,0.8,0.2742956696372283,0.24904274940490723
Sex,Female,104,50,54,44,19,35,6,0.6481481481481481,0.12,0.5098293665796518,0.466131255030632
Sex,Male,85,41,44,37,8,36,4,0.8181818181818182,0.0975609756097561,0.5573488200412077,0.49536800384521484
Weight_missing,present,160,80,80,74,13,67,6,0.8375,0.075,0.5551494444720447,0.4889489859342575
Weight_missing,missing,29,11,18,7,14,4,4,0.2222222222222222,0.36363636363636365,0.39906871421583767,0.29323193430900574
available_positions,"AV,MV,PV,TV",105,48,57,42,9,48,6,0.8421052631578947,0.125,0.509881190884681,0.4678446650505066
available_positions,"AV,MV",25,19,6,17,1,5,2,0.8333333333333334,0.10526315789473684,0.6100653982162476,0.6278297901153564
available_positions,"MV,PV,TV",14,3,11,3,8,3,0,0.2727272727272727,0.0,0.3891197240778378,0.32099810242652893
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.7740133458917792,0.8901990056037903
available_positions,"AV,PV,TV",10,3,7,2,4,3,1,0.42857142857142855,0.3333333333333333,0.43007969558238984,0.38763585686683655
available_positions,"AV,PV",7,2,5,2,2,3,0,0.6,0.0,0.48710536531039644,0.46688926219940186
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.6652542874217033,0.6660463809967041
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.5626282890637716,0.4177757799625397
available_positions,PV,3,1,2,1,1,1,0,0.5,0.0,0.4976414293050766,0.511545717716217
available_positions,"PV,TV",3,2,1,1,1,0,1,0.0,0.5,0.4375777393579483,0.25257959961891174
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.5676313564181328,0.5676313564181328
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.9009261131286621,0.9009261131286621
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.7446380257606506,0.7446380257606506
has_all_positions,True,105,48,57,42,9,48,6,0.8421052631578947,0.125,0.509881190884681,0.4678446650505066
has_all_positions,False,84,43,41,39,18,23,4,0.5609756097560976,0.09302325581395349,0.5578497474392256,0.5141973495483398
murmur,Absent,145,54,91,45,27,64,9,0.7032967032967034,0.16666666666666666,0.47586974943506305,0.4354829490184784
murmur,Present,32,28,4,27,0,4,1,1.0,0.03571428571428571,0.7270845277234912,0.7748605906963348
murmur,Unknown,12,9,3,9,0,3,0,1.0,0.0,0.6774237727125486,0.6946628391742706
outcome,Normal,98,0,98,0,27,71,0,0.7244897959183674,0.0,0.44913320790748207,0.4245675355195999
outcome,Abnormal,91,91,0,81,0,0,10,0.0,0.10989010989010989,0.619580763218167,0.5473589897155762
position_count,4,105,48,57,42,9,48,6,0.8421052631578947,0.125,0.509881190884681,0.4678446650505066
position_count,2,38,25,13,22,5,8,3,0.6153846153846154,0.12,0.5751054334013086,0.5240422189235687
position_count,3,29,10,19,9,12,7,1,0.3684210526315789,0.1,0.4589798743354863,0.4277006983757019
position_count,1,17,8,9,8,1,8,0,0.8888888888888888,0.0,0.6879385858774185,0.8016946315765381
top_attention_position,TV,95,40,55,34,18,37,6,0.6727272727272727,0.15,0.46572452454190505,0.4287540316581726
top_attention_position,MV,46,31,15,27,3,12,4,0.8,0.12903225806451613,0.6283809400123098,0.6636216342449188
top_attention_position,PV,45,19,26,19,6,20,0,0.7692307692307693,0.0,0.5679925753010644,0.5398947596549988
top_attention_position,AV,3,1,2,1,0,2,0,1.0,0.0,0.5626282890637716,0.4177757799625397
