subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.7228078044404576,0.7303160828070783,0.44913320790748207,0.619580763218167
complete_position,105,48,57,0.6114766081871346,0.6361634723811106,0.47059147530480433,0.5565377281357845
incomplete_position,84,43,41,0.8116846284741916,0.7987244934644389,0.41930098250144865,0.6899543837752453
murmur_absent,145,54,91,0.6408221408221408,0.4948219878490871,0.44323445971195513,0.5308662561906708
murmur_present,32,28,4,0.75,0.9629661350489072,0.5705976188182831,0.7494398004242352
murmur_unknown,12,9,3,0.962962962962963,0.9888888888888892,0.4661093552907308,0.7478619118531545
