prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(0.2, 0.3]",17,0.2671162889284246,0.35294117647058826
"(0.3, 0.4]",31,0.35081060182663704,0.3870967741935484
"(0.4, 0.5]",48,0.4485130396982034,0.4583333333333333
"(0.5, 0.6]",60,0.551483424504598,0.43333333333333335
"(0.6, 0.7]",33,0.6393081636139841,0.7575757575757576
