group,count,mean,std,min,p10,p25,median,p75,p90,max
Abnormal,91,0.509510936317863,0.11504494937516183,0.23460876941680908,0.3585967719554901,0.4195791929960251,0.5319362878799438,0.6031199991703033,0.6475738286972046,0.6797919869422913
Normal,98,0.45678990957688315,0.11445296603178182,0.23751817643642426,0.2942239612340927,0.35171712934970856,0.47422629594802856,0.5486472994089127,0.5902316212654114,0.6741353273391724
