subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.63097106974658,0.6351793047774623,0.45678990957688315,0.509510936317863
complete_position,105,48,57,0.48099415204678364,0.5277036485970769,0.4725762579524726,0.4717608770976464
incomplete_position,84,43,41,0.7243335224049914,0.7007143789231505,0.4348430350059416,0.5516505373078723
murmur_absent,145,54,91,0.5761090761090761,0.4538997173435071,0.45240668412093277,0.48123074019396744
murmur_present,32,28,4,0.5446428571428572,0.9160468416042691,0.5635993853211403,0.5544739376221385
murmur_unknown,12,9,3,0.7037037037037037,0.8412257495590829,0.4473351140817006,0.539307220114602
