subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.5467593630858937,0.5919581775834306,0.40562011605622816,0.43825362966610837
complete_position,105,48,57,0.5515350877192983,0.5738276524051322,0.3995424854127984,0.4353358553101619
incomplete_position,84,43,41,0.5416903006239364,0.621306310920539,0.41406950499953293,0.44151068010995553
murmur_absent,145,54,91,0.47212047212047215,0.3568317838189741,0.4030740696650285,0.3986069631797296
murmur_present,32,28,4,0.5982142857142857,0.9349461091758969,0.4368119016289711,0.5228689930268696
murmur_unknown,12,9,3,0.33333333333333337,0.7650673400673402,0.4412611424922943,0.4128858314620124
