prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(0.2, 0.3]",1,0.27461230754852295,1.0
"(0.3, 0.4]",87,0.3766797534350691,0.45977011494252873
"(0.4, 0.5]",86,0.4287438676800839,0.4186046511627907
"(0.5, 0.6]",6,0.5498580535252889,0.8333333333333334
"(0.6, 0.7]",5,0.6471363186836243,1.0
"(0.7, 0.8]",3,0.7801990310351054,1.0
"(0.8, 0.9]",1,0.8387011885643005,1.0
