subset,count,abnormal_count,normal_count,roc_auc,pr_auc,normal_mean_prob,abnormal_mean_prob
full,189,91,98,0.6952231442027361,0.6972921086581313,0.22350008679287775,0.3689957498521595
complete_position,105,48,57,0.5383771929824561,0.5885195508159998,0.2030447831279353,0.3099991991184652
incomplete_position,84,43,41,0.7765173000567215,0.7367185137270175,0.2519379479856026,0.43485236462465554
murmur_absent,145,54,91,0.6324786324786325,0.47015703662097036,0.22053624263831548,0.25291145261791015
murmur_present,32,28,4,0.7232142857142857,0.9600197330345908,0.2642030827701092,0.5662898096655097
murmur_unknown,12,9,3,0.7037037037037037,0.8984928651595321,0.2591326981782913,0.45169779161612195
